company,country,genre,name,rating,runtime,score,votes,year
Columbia Pictures Corporation,USA,Adventure,Stand by Me,R,89,8.1,299174,1986
Paramount Pictures,USA,Comedy,Ferris Bueller's Day Off,PG-13,103,7.8,264740,1986
Paramount Pictures,USA,Action,Top Gun,PG,110,6.9,236909,1986
Twentieth Century Fox Film Corporation,USA,Action,Aliens,R,137,8.4,540152,1986
Walt Disney Pictures,USA,Adventure,Flight of the Navigator,PG,90,6.9,36636,1986
Hemdale,UK,Drama,Platoon,R,120,8.1,317585,1986
Henson Associates (HA),UK,Adventure,Labyrinth,PG,101,7.4,102879,1986
De Laurentiis Entertainment Group (DEG),USA,Drama,Blue Velvet,R,120,7.8,146768,1986
Paramount Pictures,USA,Comedy,Pretty in Pink,PG-13,96,6.8,60565,1986
SLM Production Group,USA,Drama,The Fly,R,96,7.5,129698,1986
Rimfire Films,Australia,Adventure,Crocodile Dundee,PG-13,97,6.5,79465,1986
Thorn EMI Screen Entertainment,UK,Action,Highlander,R,116,7.2,104860,1986
Twentieth Century Fox Film Corporation,USA,Comedy,Lucas,PG-13,100,6.8,12228,1986
Twentieth Century Fox Film Corporation,USA,Action,Big Trouble in Little China,PG-13,99,7.3,101678,1986
De Laurentiis Entertainment Group (DEG),USA,Crime,Manhunter,R,120,7.2,54000,1986
Producers Sales Organization (PSO),USA,Drama,9½ Weeks,R,117,5.9,31798,1986
De Laurentiis Entertainment Group (DEG),USA,Action,Maximum Overdrive,R,98,5.4,24881,1986
"Geffen Company, The",USA,Comedy,Little Shop of Horrors,PG-13,94,6.9,53327,1986
New Century Entertainment Corporation,USA,Action,The Wraith,PG-13,93,5.9,11635,1986
Universal Pictures,USA,Action,Howard the Duck,PG,110,4.6,36020,1986
New Line Cinema,USA,Action,Critters,PG-13,82,6,25517,1986
Orion Pictures,USA,Comedy,Back to School,PG-13,96,6.6,23120,1986
Cannon Films,USA,Comedy,The Texas Chainsaw Massacre 2,UNRATED,89,5.6,21253,1986
Jay Weston Productions,USA,Action,Heartbreak Ridge,R,130,6.8,32954,1986
Paramount Pictures,USA,Adventure,Star Trek IV: The Voyage Home,PG,119,7.3,66366,1986
TriStar Pictures,USA,Comedy,Short Circuit,PG,98,6.6,47068,1986
Neue Constantin Film,Italy,Crime,The Name of the Rose,R,130,7.8,86991,1986
TriStar Pictures,USA,Action,Iron Eagle,PG-13,117,5.3,11304,1986
Paramount Pictures,USA,Action,The Golden Child,PG-13,94,5.9,42997,1986
Hemdale,USA,Crime,River's Edge,R,99,7.1,12862,1986
L.A. Films,USA,Comedy,¡Three Amigos!,PG,104,6.4,57406,1986
Warner Bros.,USA,Action,Cobra,R,87,5.7,54851,1986
Gaumont,France,Drama,Betty Blue,Not specified,120,7.4,14562,1986
Warner Bros.,UK,Adventure,The Mission,PG,125,7.5,47497,1986
Touchstone Pictures,USA,Drama,The Color of Money,R,119,7,62495,1986
Columbia Pictures Corporation,USA,Action,The Karate Kid Part II,PG,113,5.9,58370,1986
Lorimar Productions,USA,Drama,The Boy Who Could Fly,PG,114,6.5,4623,1986
HBO Films,USA,Thriller,The Hitcher,R,97,7.3,36191,1986
Amblin Entertainment,USA,Comedy,The Money Pit,PG,91,6.3,41278,1986
Paramount Pictures,USA,Horror,Jason Lives: Friday the 13th Part VI,R,86,5.9,28310,1986
The Saul Zaentz Company,USA,Adventure,The Mosquito Coast,PG,117,6.6,23076,1986
Universal Pictures,USA,Animation,An American Tail,G,80,6.9,41004,1986
Initial Pictures,UK,Biography,Sid and Nancy,R,112,7.1,25032,1986
De Laurentiis Entertainment Group (DEG),USA,Action,King Kong Lives,PG-13,105,3.8,4401,1986
Empire Pictures,USA,Horror,From Beyond,R,86,6.7,16636,1986
TriStar Pictures,USA,Comedy,Peggy Sue Got Married,PG-13,103,6.3,28529,1986
Freddie Fields Productions,USA,Horror,Poltergeist II: The Other Side,PG-13,91,5.7,20669,1986
Empire Pictures,USA,Comedy,Troll,PG-13,82,4.3,7569,1986
Metro-Goldwyn-Mayer (MGM),USA,Action,Running Scared,R,107,6.5,9344,1986
Hawn / Sylbert Movie Company,USA,Comedy,Wildcats,R,106,5.9,10239,1986
Maljack Productions,USA,Biography,Henry: Portrait of a Serial Killer,UNRATED,83,7,25367,1986
ABC Motion Pictures,USA,Adventure,SpaceCamp,PG,107,5.6,11484,1986
Orion Pictures,USA,Comedy,Hannah and Her Sisters,PG-13,107,8,56988,1986
Walt Disney Pictures,USA,Animation,The Great Mouse Detective,G,74,7.2,36539,1986
De Laurentiis Entertainment Group (DEG),USA,Action,Raw Deal,R,106,5.5,24851,1986
Sunbow Productions,USA,Animation,The Transformers: The Movie,PG,84,7.3,33609,1986
TaliaFilm II Productions,USA,Drama,Rad,PG,91,7.2,4039,1986
TriStar Pictures,USA,Comedy,Night of the Creeps,R,88,6.8,16077,1986
Cannon Pictures,USA,Horror,Invaders from Mars,PG,100,5.5,5878,1986
Columbia Pictures Corporation,USA,Drama,Crossroads,R,99,7.1,11415,1986
